window_ns,ber,energy_pj,window_ns
20.0,0.5625,87.7275046369381,20.0
20.0,0.4375,70.26104903179943,20.0
20.0,0.75,113.07829785309434,20.0
20.0,0.5625,86.81501584759967,20.0
20.0,0.6875,106.09874724051157,20.0
20.0,0.8125,123.29119236695041,20.0
20.0,0.625,96.09768448621033,20.0
20.0,0.875,135.85427044588243,20.0
20.0,0.625,92.60628240865498,20.0
20.0,0.6875,110.62451730462456,20.0
20.0,0.875,134.20897056410226,20.0
20.0,0.625,100.27442794321524,20.0
20.0,0.6875,103.91156850414137,20.0
20.0,0.75,113.71442456552218,20.0
20.0,0.75,116.91404509902863,20.0
20.0,0.875,134.02509803200326,20.0
20.0,0.6875,107.99947432243536,20.0
20.0,0.4375,63.57942806285774,20.0
20.0,0.625,96.4287644219811,20.0
20.0,0.75,115.07877272072994,20.0
20.0,0.625,101.03073002529302,20.0
20.0,0.4375,64.26866795493193,20.0
20.0,0.5,77.62099478387405,20.0
20.0,0.625,94.53395126325172,20.0
20.0,0.625,94.17775331104059,20.0
20.0,0.6875,107.50814228519289,20.0
20.0,0.5625,86.8184488020021,20.0
20.0,0.75,114.95708326525204,20.0
20.0,0.6875,105.56167815559552,20.0
20.0,0.75,114.0205114780648,20.0
20.0,0.625,96.3347492474791,20.0
20.0,0.875,134.32039432823643,20.0
20.0,0.8125,122.55152780416401,20.0
20.0,0.625,94.86588495000714,20.0
20.0,0.6875,105.18644351668321,20.0
20.0,0.75,112.28781649121942,20.0
20.0,0.9375,140.0476317183233,20.0
20.0,0.625,97.70323757090192,20.0
20.0,0.625,89.7276835432088,20.0
20.0,0.8125,124.37953293303877,20.0
20.0,0.6875,103.98424117073667,20.0
20.0,0.625,91.31303114560407,20.0
20.0,0.8125,124.76263702982214,20.0
20.0,0.75,114.71940539262093,20.0
20.0,0.75,110.28646937126614,20.0
20.0,0.625,98.71259632069682,20.0
20.0,0.375,57.824290568131126,20.0
20.0,0.6875,108.09808438334939,20.0
20.0,0.75,107.3806893556736,20.0
20.0,0.625,96.4073631096909,20.0
20.0,0.5,74.23220929612513,20.0
20.0,0.8125,121.96594537287115,20.0
20.0,0.625,97.06528982180346,20.0
20.0,0.5625,86.0769824451577,20.0
20.0,0.6875,105.60873639865589,20.0
20.0,0.6875,104.27008620266612,20.0
20.0,0.625,96.74797529729386,20.0
20.0,0.6875,100.55233890106734,20.0
20.0,0.625,96.11416161237209,20.0
20.0,0.5,78.11405847040677,20.0
20.0,0.625,95.47005780695187,20.0
20.0,0.75,117.5880532929705,20.0
20.0,0.6875,105.7539669393178,20.0
20.0,0.625,93.21875001499184,20.0
20.0,0.8125,125.98757122921963,20.0
20.0,0.8125,124.06078139643971,20.0
20.0,0.625,96.63866029666002,20.0
20.0,0.625,98.75693713426107,20.0
20.0,0.75,112.02494408229892,20.0
20.0,0.8125,128.8228208299808,20.0
20.0,0.5,77.66707780485893,20.0
20.0,0.75,114.59570983552835,20.0
20.0,0.8125,127.44435559422729,20.0
20.0,0.5625,87.34229196125337,20.0
20.0,0.5625,86.63872404598686,20.0
20.0,0.5625,88.158789280277,20.0
20.0,0.625,97.88075067107049,20.0
20.0,0.5,77.27150889708015,20.0
20.0,0.5,79.41734924646258,20.0
20.0,0.6875,105.2598712784876,20.0
20.0,0.6875,106.72841434178443,20.0
20.0,0.625,95.48536540592671,20.0
20.0,0.4375,68.19911422982028,20.0
20.0,0.6875,102.0072543959913,20.0
20.0,0.75,114.29930205470518,20.0
20.0,0.625,95.78116475017926,20.0
20.0,0.5625,83.51355409090247,20.0
20.0,0.8125,122.01194492192901,20.0
20.0,0.5,79.34598203309953,20.0
20.0,0.8125,125.39546570948521,20.0
20.0,0.75,117.50805915739438,20.0
20.0,0.625,98.50300131696669,20.0
20.0,0.8125,122.7356362246842,20.0
20.0,0.75,113.71073806736243,20.0
20.0,0.8125,122.29931878703032,20.0
20.0,0.75,115.62763772971925,20.0
20.0,0.625,89.92590411077713,20.0
20.0,0.8125,125.39073577404761,20.0
20.0,0.75,111.69304229849172,20.0
20.0,0.4375,66.7714896137794,20.0
20.0,0.8125,127.07402066713027,20.0
20.0,0.375,57.674139837463635,20.0
20.0,0.625,94.64363175978292,20.0
20.0,0.375,55.349764532621045,20.0
20.0,0.375,57.638295593452405,20.0
20.0,0.6875,104.17829490242629,20.0
20.0,0.875,129.9554431734291,20.0
20.0,0.5,75.70636270087712,20.0
20.0,0.5625,85.19099869178555,20.0
20.0,0.625,96.0475353362836,20.0
20.0,0.6875,107.41110597655336,20.0
20.0,0.625,95.62283663267527,20.0
20.0,0.75,115.35434262844184,20.0
20.0,0.75,109.8637129654544,20.0
20.0,0.75,116.11258625772602,20.0
20.0,0.4375,68.63429943929563,20.0
20.0,0.5,79.13694308993715,20.0
20.0,0.5625,83.43911725673794,20.0
20.0,0.625,96.96611606441532,20.0
20.0,0.4375,64.90100315282535,20.0
20.0,0.875,134.86551560524077,20.0
20.0,0.5625,87.69649013523504,20.0
20.0,0.6875,100.0679995537165,20.0
20.0,0.5625,86.62841367587039,20.0
20.0,0.6875,106.66577015772064,20.0
20.0,0.5625,88.12375367956008,20.0
20.0,0.625,96.46282020442969,20.0
20.0,0.875,128.62769271871372,20.0
20.0,0.8125,124.32469833461224,20.0
20.0,0.5625,83.38485986305291,20.0
20.0,0.6875,105.1266018384659,20.0
20.0,0.5,77.66795534511881,20.0
20.0,0.5625,88.57548590278476,20.0
20.0,0.6875,108.97865282544734,20.0
20.0,0.75,118.41303692551895,20.0
24.0,0.5,95.80609483270244,24.0
24.0,0.5,89.42614652920679,24.0
24.0,0.875,161.35466644785515,24.0
24.0,0.5625,108.92393809535287,24.0
24.0,0.625,118.03312444314994,24.0
24.0,0.8125,152.5202499695876,24.0
24.0,0.625,121.52492200927236,24.0
24.0,0.8125,150.74919325873415,24.0
24.0,0.625,123.66688223091055,24.0
24.0,0.5625,103.23998757392208,24.0
24.0,0.875,162.1576389149142,24.0
24.0,0.8125,147.37797040049935,24.0
24.0,0.625,117.26562937587806,24.0
24.0,0.5,89.5378453561118,24.0
