sat_I_sat,ber,energy_pj,window_ns
0.5,0.75,32.72715436322647,8.003047170797544
0.5,0.4375,37.38427602952456,8.001792756349563
0.5,0.625,35.00679333320085,7.982422716086434
0.5,0.8125,27.975968832010405,7.989414639180216
0.5,0.5625,35.130852045293324,7.999432168056073
0.5,0.625,35.029170698375495,7.99372412463563
0.5,0.5625,32.29582787279079,7.990771135581047
0.5,0.8125,14.001101711044287,8.003654744726429
0.5,0.6875,25.61544080998546,7.997441679286592
0.5,0.625,29.879213382641876,7.984563747974779
0.5,0.6875,30.336315950516248,7.991204903713411
0.5,0.5625,30.563585285104008,7.9987619070567035
0.5,0.875,31.719101691863454,7.9940677981512955
0.5,0.875,30.447736828699703,8.00025128711216
0.5,0.6875,34.362706927419154,7.984274717499975
0.5,0.6875,29.72323905233052,7.980261661301411
0.5,0.75,30.14049974471673,7.991368143376556
0.5,0.75,38.04645294951207,8.0285743842314
0.5,0.6875,25.001763223640083,7.987833962847105
0.5,0.5,42.330674364102315,8.011649444451882
0.5,0.6875,30.00399750131644,8.01356763157464
0.5,0.9375,25.57815553909446,7.9913465716789815
0.5,0.6875,32.82056381824075,7.990494637928142
0.5,0.6875,29.321046723577098,8.004654967741663
0.5,0.5,35.167421462975796,8.00808547749602
0.5,0.375,37.27338868526742,7.987746082005309
0.5,0.5625,37.50807971024196,7.998107543034315
0.5,0.6875,32.92039859174892,8.001074487026973
0.5,0.625,30.350963978055123,8.003248847188246
0.5,0.6875,35.792465668118076,8.00635843338266
0.5,0.9375,38.52060129906453,8.010520748860237
0.5,0.6875,32.06493965698311,8.027996972218373
0.5,0.5625,34.40273317978056,7.989074457296166
0.5,0.5,32.83091182771641,7.988760282375706
0.5,0.625,37.41546956081827,8.01276470882781
0.5,0.5,38.78658121897031,7.993316253167004
0.5,0.6875,30.707632809179312,8.005191029979569
0.5,0.8125,36.447909142960874,8.002979331769684
0.5,0.75,20.103288166355963,8.015458964797787
0.5,0.5625,39.98715575154929,8.004264474161984
0.5,0.625,34.50023044728155,7.980526948343101
0.5,0.75,24.500297355276082,7.999225611323679
0.5,0.5625,34.785200011151794,7.997226617912064
0.5,0.6875,29.415130475037238,8.014126079006362
0.5,0.6875,28.528061293096716,8.010725333647102
0.5,0.5625,37.68020207205595,7.99410729140936
0.5,0.5625,35.1784850477783,8.004937227144602
0.5,0.6875,27.586614735138376,8.003828950951617
0.5,0.8125,27.273870134401125,7.992243905207385
0.5,0.625,35.066122813387594,7.997058475651544
0.5,0.5625,35.18582024413562,8.021331605180034
0.5,0.75,28.135800527476995,7.993634306726202
0.5,0.4375,36.985748682138606,8.006224410467595
0.5,0.6875,27.518546267479127,7.98618420826471
0.5,0.75,26.74017151328598,8.006083961914591
0.5,0.6875,28.92966291641293,7.99406843492662
0.5,0.75,29.91555441870241,7.993674439636527
0.5,0.6875,30.535190803295237,7.998740395674529
0.5,0.625,24.16571546862952,7.984202813028055
0.5,0.5625,32.306368397052196,7.992291553735422
0.5,0.8125,25.870737567204976,7.9949867980728175
0.5,0.4375,37.990450333655836,8.006868669613349
0.5,0.9375,27.506453504084078,7.997954784608268
0.5,0.8125,32.37875896848253,8.011799657394576
0.5,0.375,40.10237493545165,7.990301319771891
0.5,0.875,33.92459900156276,7.996115231743818
0.5,0.6875,36.13928102953965,7.998687140623767
0.5,0.625,35.297622328666655,7.997862897660527
0.5,0.5625,30.320593893292116,7.988999898462506
0.5,1.0,27.483867838198886,7.984464824577547
0.5,0.625,28.02000746146606,8.00385818467872
0.5,0.6875,32.880003186755914,7.981940924308212
