trial,ber,energy_pj,window_ns
0,0.3125,59.048453033034384,10.003047170797544
1,0.1875,68.06769997972434,10.001792756349563
2,0.25,63.97412839317756,9.982422716086434
3,0.375,48.998074297061905,9.989414639180216
4,0.25,63.60198864298737,9.999432168056073
5,0.25,64.30605445711635,9.99372412463563
6,0.3125,57.53657271184463,9.990771135581047
7,0.6875,23.20755795182088,10.003654744726429
8,0.4375,45.252626764779954,9.997441679286592
9,0.375,54.93117449919564,9.984563747974779
10,0.3125,55.53290896943419,9.991204903713411
11,0.3125,54.945969275797374,9.998761907056704
12,0.3125,57.969675160386046,9.994067798151296
13,0.375,53.87403823544382,10.00025128711216
14,0.25,62.04967734329413,9.984274717499975
15,0.375,52.888765698967646,9.98026166130141
16,0.3125,53.533781128285234,9.991368143376556
17,0.1875,70.5996818112118,10.0285743842314
18,0.5,42.998977402801465,9.987833962847105
19,0.0625,79.28589528058217,10.011649444451882
20,0.375,52.952425043299385,10.01356763157464
21,0.5,44.74529901113574,9.991346571678982
22,0.3125,58.92704386557222,9.990494637928142
23,0.375,52.01255434803077,10.004654967741663
24,0.25,63.89169556563744,10.00808547749602
25,0.1875,67.48834290702955,9.987746082005309
26,0.1875,69.46175724768042,9.998107543034315
27,0.3125,58.92899306788851,10.001074487026973
28,0.375,53.025140449738934,10.003248847188246
29,0.25,65.0632235495653,10.00635843338266
30,0.1875,71.17805372070157,10.010520748860237
31,0.3125,57.72116950871739,10.027996972218373
32,0.25,62.98632650533859,9.989074457296166
33,0.3125,58.77013694194769,9.988760282375706
34,0.1875,68.93929566447967,10.01276470882781
35,0.125,71.87758458212683,9.993316253167004
36,0.375,55.63235436488781,10.005191029979569
37,0.1875,66.42238971129409,10.002979331769684
38,0.625,33.65975349751335,10.015458964797787
39,0.125,73.77746065827083,10.004264474161984
40,0.1875,61.402323176274855,9.980526948343101
41,0.5,41.91730417386962,9.999225611323679
42,0.25,62.93410897784174,9.997226617912064
43,0.375,51.98091135841341,10.014126079006362
44,0.3125,53.87933113304971,10.010725333647102
45,0.1875,68.75951219526175,9.99410729140936
46,0.25,63.808823714744534,10.004937227144602
47,0.4375,48.10092959936831,10.003828950951617
48,0.4375,48.248769712224444,9.992243905207385
49,0.25,62.760239100231544,9.997058475651544
50,0.25,64.47738181206162,10.021331605180034
51,0.4375,48.87185717754474,9.993634306726202
52,0.1875,67.95105447054829,10.006224410467595
53,0.4375,48.4649423716728,9.98618420826471
54,0.4375,47.09031510200605,10.006083961914591
55,0.375,52.310663461578486,9.99406843492662
56,0.375,53.564482539210445,9.993674439636527
57,0.375,55.66858937150656,9.99874039567453
58,0.5,42.27264766016409,9.984202813028055
59,0.3125,56.72476694567412,9.992291553735422
60,0.4375,46.488312617465944,9.994986798072818
61,0.1875,69.17860064898784,10.006868669613349
62,0.4375,48.4712949261105,9.997954784608268
63,0.3125,57.924663082160485,10.011799657394576
64,0.125,75.5141680372157,9.990301319771891
65,0.3125,61.61074064143356,9.996115231743818
66,0.25,65.18127529157395,9.998687140623767
67,0.25,64.41832214230168,9.997862897660527
68,0.375,53.92104971991479,9.988999898462506
69,0.4375,48.663042079967866,9.984464824577547
70,0.4375,49.91856995616415,10.00385818467872
71,0.3125,59.63608289089558,9.981940924308212
72,0.3125,58.36567411755847,9.987861983139087
73,0.25,64.63718767510898,9.997229306929615
74,0.125,74.15067302459077,10.015912619698002
75,0.3125,58.53936606788454,9.99334891827972
76,0.5625,36.442176522994586,9.991101783637813
77,0.375,53.01595724608793,9.998704696140626
78,0.1875,71.95993216408465,9.999912506032434
79,0.375,53.703376303938036,10.010261562807722
80,0.375,52.549467205801456,10.009532048834913
81,0.0625,77.76805041903437,10.01002909868948
82,0.25,63.67453062511639,9.997552528261968
83,0.3125,60.4659666036034,10.003206019563548
84,0.5625,33.1052627692903,10.010200734164298
85,0.375,54.620070454631296,9.994677285933786
86,0.3125,59.920050514067654,10.005560278747597
87,0.3125,53.90562254118463,9.991843685663534
88,0.125,73.80743712028197,10.000165017574144
89,0.3125,57.56258600396048,9.994211782784133
90,0.25,61.58445031366984,9.994866312311839
91,0.3125,60.02760446506414,10.020360182121712
92,0.4375,46.735643768752524,9.994960048916365
93,0.25,65.72401496933159,10.001447470471675
94,0.3125,60.26524114166422,9.980295667961967
95,0.375,55.266845412766955,10.009111258440443
96,0.375,54.25457758756692,9.999845960629493
97,0.3125,57.823409158640054,9.99361905532326
98,0.25,63.72890371336471,10.01451587371846
99,0.375,53.76901117291562,9.992086479329245
100,0.25,64.07954335182121,9.997668916700215
101,0.375,54.49565923508488,9.997582285042013
102,0.375,56.07617179701428,10.01928332944467
103,0.3125,58.87120650900838,10.00225942694089
104,0.4375,49.22554020712709,9.997292895789622
105,0.3125,59.506478976624145,10.000243930698629
106,0.3125,53.17852986962171,10.007491231719365
107,0.125,76.16361590200358,9.999708276570011
108,0.3125,56.20469904300921,9.997055850794418
109,0.4375,42.78327454029314,10.019738110352804
110,0.25,64.70963780420507,9.998357642176131
111,0.3125,60.08861359764438,9.989453757886663
112,0.4375,48.679279337081724,9.99300172575302
113,0.25,65.96878567777782,9.989601558996142
114,0.25,60.32827600737235,9.978979601640102
115,0.3125,58.03707466173536,9.998429976872279
116,0.25,62.530350087208795,9.995279130635865
117,0.1875,70.40024841457229,9.993472526889189
118,0.5625,39.845708537693,9.998877979144332
119,0.375,53.96310351807833,9.988665956999672
120,0.25,64.22054030923262,10.002679191243502
121,0.25,65.02748173834277,10.007142792376934
122,0.3125,59.60452616519192,10.017976998377948
