sweep_window_ns,ber,energy_pj,window_ns
5.0,0.3125,29.53322031209832,5.003047170797545
5.0,0.1875,34.03995033624175,5.001792756349563
5.0,0.25,31.930740624193522,4.982422716086433
5.0,0.4375,24.473076553504548,4.989414639180216
5.0,0.25,31.799188456862968,4.999432168056073
5.0,0.25,32.132835717437565,4.993724124635631
5.0,0.3125,28.741711969426092,4.990771135581047
5.0,0.75,11.608018311421684,5.003654744726428
5.0,0.4375,22.620523364558583,4.997441679286592
5.0,0.375,27.423125131401253,4.9845637479747795
5.0,0.3125,27.742012123358677,4.9912049037134105
5.0,0.375,27.46958280593507,4.9987619070567035
5.0,0.3125,28.96763298336529,4.994067798151296
5.0,0.375,26.937695993244308,5.00025128711216
5.0,0.25,30.97597439588594,4.984274717499976
5.0,0.375,26.392082799320555,4.980261661301411
5.0,0.3125,26.743765806896977,4.991368143376557
5.0,0.1875,35.400420626936295,5.028574384231399
5.0,0.5,21.473300482877082,4.987833962847106
5.0,0.0625,39.68907573535177,5.011649444451881
5.0,0.375,26.512085799869244,5.01356763157464
5.0,0.5,22.353272726172104,4.9913465716789815
5.0,0.3125,29.435489142214426,4.990494637928142
5.0,0.375,26.01837737950164,5.004654967741663
5.0,0.25,31.971656658437933,5.00808547749602
5.0,0.1875,33.702770890612896,4.987746082005309
5.0,0.1875,34.72430471045349,4.998107543034316
5.0,0.3125,29.467662115695767,5.001074487026973
5.0,0.375,26.52118095620346,5.003248847188246
5.0,0.25,32.552283639334135,5.006358433382659
5.0,0.1875,35.62642983104321,5.0105207488602375
5.0,0.3125,28.941160066829212,5.027996972218373
5.0,0.25,31.458717628848657,4.989074457296166
5.0,0.3125,29.352003319532134,4.988760282375706
5.0,0.1875,34.51359124160884,5.01276470882781
5.0,0.125,35.91475564666424,4.993316253167005
5.0,0.375,27.830609151700376,5.005191029979568
5.0,0.1875,33.22108662531563,5.0029793317696845
5.0,0.625,16.855853838153234,5.015458964797786
5.0,0.125,36.90445472716686,5.004264474161983
5.0,0.25,30.641260411660095,4.980526948343102
5.0,0.4375,20.957028946893477,4.999225611323678
5.0,0.25,31.458325051420463,4.997226617912063
5.0,0.375,26.027118212419683,5.014126079006362
5.0,0.375,26.968528300532192,5.010725333647102
5.0,0.1875,34.359485164148175,4.99410729140936
5.0,0.25,31.92015601698751,5.004937227144603
5.0,0.4375,24.059670080093593,5.0038289509516165
5.0,0.375,24.105659230757674,4.992243905207384
5.0,0.25,31.37088629548625,4.997058475651544
5.0,0.25,32.30731482275705,5.021331605180033
5.0,0.4375,24.420363517853414,4.993634306726202
5.0,0.1875,33.99666184298396,5.006224410467595
5.0,0.4375,24.198945790412225,4.986184208264709
5.0,0.4375,23.559473625277818,5.006083961914591
5.0,0.375,26.139808317730587,4.99406843492662
5.0,0.3125,26.765289278133196,4.993674439636527
5.0,0.375,27.83078822421421,4.99874039567453
5.0,0.5,21.10288155483039,4.984202813028055
5.0,0.3125,28.340503616080355,4.992291553735422
5.0,0.4375,23.232497699190777,4.9949867980728175
5.0,0.1875,34.61304226449608,5.006868669613349
5.0,0.4375,24.230689737112623,4.997954784608268
5.0,0.3125,28.996465822654226,5.011799657394576
5.0,0.125,37.72042907963771,4.99030131977189
5.0,0.3125,30.79339849741632,4.9961152317438176
5.0,0.25,32.58635839151512,4.998687140623768
5.0,0.25,32.202276172378696,4.997862897660527
5.0,0.375,26.93083535008573,4.988999898462505
5.0,0.4375,24.293662781685356,4.984464824577547
5.0,0.4375,24.968911017365436,5.00385818467872
5.0,0.3125,29.7640953970651,4.981940924308212
5.0,0.3125,29.147371834280715,4.987861983139088
5.0,0.25,32.309636865388505,4.997229306929615
5.0,0.125,37.134239355343745,5.015912619698002
5.0,0.3125,29.250202571839964,4.993348918279721
5.0,0.5625,18.204860302884523,4.991101783637814
5.0,0.375,26.50454458943169,4.998704696140626
5.0,0.1875,35.979651276333115,4.999912506032434
5.0,0.375,26.879213934607968,5.010261562807722
5.0,0.375,26.299754956887167,5.009532048834913
5.0,0.0625,38.92298331055856,5.010029098689481
5.0,0.1875,31.829471324325052,4.997552528261967
5.0,0.3125,30.24267294886151,5.003206019563549
5.0,0.625,16.569499077523655,5.0102007341642985
5.0,0.375,27.295491135034194,4.994677285933786
5.0,0.3125,29.97667460866932,5.005560278747596
5.0,0.375,26.930809765328114,4.991843685663534
5.0,0.125,36.90432752629545,5.000165017574144
5.0,0.3125,28.764624116144123,4.994211782784132
5.0,0.25,30.77640927073386,4.9948663123118395
